time, instructions, freed, alive, gc_latency (us)
1370271, 1247811, 1252536, 3924768, 2232625
1380271, 1285472, 1290336, 3924768, 2240402
1390271, 1284242, 1302624, 3924768, 2330298
1400271, 1261168, 1265944, 3924768, 2238342
1410271, 1278555, 1283392, 3924769, 2224100
1420271, 1309860, 1328338, 3924769, 2245021
1430271, 1281488, 1286340, 3924769, 2282461
1440271, 1280966, 1285816, 3924769, 2239215
1450271, 1291632, 1310042, 3924769, 2317996
1460271, 1254113, 1258860, 3924768, 2282241
1470271, 1266469, 1271260, 3924769, 2217374
1480271, 1289839, 1308242, 3924768, 2322329
1490271, 1251422, 1256158, 3924768, 2297923
1500271, 1276123, 1280953, 3924769, 2229867
1510271, 1295165, 1313589, 3924768, 2287662
1520271, 1268005, 1272803, 3924769, 2240902
1530271, 1274476, 1279301, 3924769, 2221056
1540271, 1298792, 1317229, 3924769, 2273586
1550271, 1269258, 1274064, 3924769, 2238335
1560271, 1276514, 1281343, 3924769, 2290967
1570271, 1276449, 1294803, 3924768, 2277810
1580271, 1272042, 1276857, 3924768, 2222995
1590271, 1276710, 1281541, 3924768, 2235621
1600271, 1280616, 1298983, 3924770, 2289606
1610271, 1252958, 1257704, 3924770, 2220773
1620271, 1278249, 1283084, 3924771, 2242881
1630271, 1274989, 1374854, 3885311, 2346697
1640271, 1244090, 1244093, 3890020, 2226086
1650271, 1274659, 1274662, 3894834, 2220682
1660271, 1295076, 1283566, 3938770, 2282684
1670271, 1277516, 1282353, 3938770, 2214281
1680271, 1301361, 1306284, 3938771, 2233777
1690271, 1289106, 1307506, 3938771, 2307535
1700271, 1255962, 1260716, 3938771, 2237410
1710271, 1270302, 1275112, 3938771, 2243347
1720271, 1289585, 1307988, 3938770, 2286028
1730271, 1264552, 1269340, 3938770, 2287437
1740271, 1279700, 1284542, 3938770, 2240906
1750271, 1296028, 1314454, 3938770, 2276442
1760271, 1270077, 1274882, 3938771, 2243095
1770271, 1262670, 1267451, 3938771, 2285970
1780271, 1281954, 1300324, 3938771, 2264857
1790271, 1276489, 1281326, 3938770, 2248765
1800271, 1278987, 1283826, 3938771, 2300995
1810271, 1281188, 1299557, 3938771, 2261843
1820271, 1277875, 1282712, 3938770, 2240291
1830271, 1266174, 1270968, 3938770, 2287150
1840271, 1272734, 1291071, 3938770, 2331850
1850271, 1260161, 1264935, 3938771, 2236242
1860271, 1293869, 1298763, 3938770, 2249261
1870271, 1286556, 1304945, 3938770, 2321631
1880271, 1263293, 1268079, 3938771, 2232507
1890271, 1271824, 1276630, 3938771, 2277635
1900271, 1288700, 1307102, 3938771, 2271559
1910271, 1276359, 1281194, 3938770, 2228970
1920271, 1296751, 1301655, 3938771, 2228824
1930271, 1306664, 1325131, 3938771, 2285734
1940271, 1269896, 1274705, 3938771, 2281428
1950271, 1273664, 1278481, 3938771, 2228842
1960271, 1308616, 1327095, 3938771, 2267018
1970271, 1274291, 1279115, 3938770, 2239709
1980271, 1286670, 1291541, 3938770, 2258463
1990271, 1301761, 1320204, 3938771, 2255214
2000271, 1289781, 1294671, 3938770, 2233020
2010271, 1289599, 1294473, 3938771, 2226442
2020271, 1318651, 1337160, 3938770, 2261530
2030271, 1286399, 1291272, 3938771, 2240322
2040271, 1299950, 1304863, 3938771, 2246179
2050271, 1296012, 1314441, 3938771, 2267632
2060271, 1259985, 1264761, 3938770, 2249548
2070271, 1264086, 1268862, 3938770, 2251675
2080271, 1279689, 1298054, 3938771, 2295319
2090271, 1250689, 1255431, 3938770, 2230516
2100271, 1282543, 1287391, 3938771, 2230875
2110271, 1287914, 1306308, 3938771, 2345353
2120271, 1246003, 1250728, 3938770, 2218943
2130271, 1276773, 1281602, 3938771, 2237376
2140271, 1306566, 1325029, 3938771, 2269828
2150271, 1275896, 1280729, 3938771, 2237298
2160271, 1293291, 1298181, 3938770, 2249738
2170271, 1300812, 1319258, 3938770, 2295075
