time, instructions, freed, alive, gc_latency (us)
17700, 19231, 28082, 28, 9303
17800, 19120, 27919, 28, 9785
17900, 19053, 27822, 27, 9230
18000, 19199, 28035, 28, 9292
18100, 19141, 27950, 28, 9278
18200, 19154, 27969, 28, 9768
18300, 19081, 27863, 28, 9240
18400, 19212, 28057, 26, 9291
18500, 19264, 28127, 27, 9330
18600, 19245, 28102, 27, 10415
18700, 18966, 27694, 28, 9211
18800, 19245, 28104, 26, 9820
18900, 19034, 27794, 27, 10331
19000, 18964, 27690, 28, 9206
19100, 19204, 28045, 25, 9295
19200, 19227, 28073, 28, 9299
19300, 19321, 28218, 24, 9341
19400, 19240, 28091, 26, 10427
19500, 18945, 27665, 26, 9195
19600, 19233, 28084, 26, 9292
19700, 19276, 28145, 28, 9346
19800, 19216, 28063, 25, 9297
19900, 19175, 27998, 28, 9284
20000, 19262, 28128, 27, 9319
20100, 19222, 28067, 27, 9310
20200, 19180, 28007, 28, 9281
20300, 19168, 27990, 27, 9278
20400, 19167, 27988, 28, 9283
20500, 19140, 27951, 26, 9279
20600, 19197, 28031, 26, 9284
20700, 19191, 28023, 26, 9289
20800, 19158, 27977, 26, 9287
20900, 18839, 27508, 27, 9535
21000, 19050, 27817, 27, 9233
21100, 19214, 28056, 26, 9292
21200, 19286, 28164, 25, 9321
21300, 19315, 28202, 27, 9347
21400, 19299, 28180, 28, 9343
21500, 19208, 28048, 28, 9296
21600, 19275, 28148, 27, 9324
21700, 19272, 28140, 27, 9326
21800, 19288, 28165, 27, 9323
21900, 19227, 28075, 28, 10406
22000, 18957, 27684, 27, 9208
22100, 19243, 28099, 26, 9330
22200, 19164, 27983, 26, 9283
22300, 19122, 27924, 26, 9282
22400, 19242, 28095, 27, 9312
22500, 19190, 28022, 28, 9300
22600, 19238, 28094, 25, 9297
22700, 19198, 28031, 27, 10400
22800, 18973, 27706, 26, 9206
22900, 19222, 28067, 28, 10387
23000, 18957, 27682, 28, 9717
23100, 19130, 27934, 28, 9262
23200, 19280, 28154, 26, 9317
23300, 19261, 28126, 26, 9567
23400, 19113, 27908, 27, 10332
23500, 18999, 27743, 28, 9213
23600, 19210, 28051, 28, 9281
23700, 19190, 28022, 28, 9284
23800, 19183, 28012, 27, 9279
23900, 19182, 28010, 27, 9290
24000, 19274, 28144, 27, 10441
24100, 19021, 27777, 25, 9236
24200, 19188, 28018, 27, 10367
24300, 18946, 27665, 27, 9211
24400, 19130, 27933, 28, 9271
24500, 19204, 28045, 25, 9290
24600, 19188, 28021, 24, 9296
24700, 19227, 28072, 27, 9298
24800, 19233, 28085, 27, 9306
24900, 19258, 28122, 25, 9315
25000, 19209, 28050, 25, 10392
25100, 18897, 27591, 28, 9175
25200, 19179, 28006, 27, 9284
25300, 19205, 28044, 26, 9296
25400, 19307, 28193, 27, 9337
25500, 19256, 28117, 28, 9333
25600, 19219, 28064, 28, 9298
25700, 19194, 28028, 28, 9292
25800, 19214, 28057, 28, 9293
25900, 19300, 28184, 26, 9332
26000, 19309, 28194, 27, 9335
26100, 19294, 28174, 28, 9332
26200, 19247, 28104, 28, 9304
26300, 19292, 28174, 26, 10416
26400, 19042, 27804, 26, 9261
26500, 19209, 28048, 27, 9280
26600, 19303, 28190, 26, 9333
26700, 19308, 28190, 28, 9344
26800, 19272, 28143, 27, 9331
26900, 19109, 27903, 28, 9253
27000, 19260, 28124, 28, 9309
27100, 19241, 28096, 27, 9312
27200, 19176, 28002, 26, 9280
27300, 19215, 28060, 25, 9288
27400, 19221, 28065, 28, 9301
27500, 19252, 28113, 26, 9319
27600, 19230, 28079, 27, 9311
