trial,hw_to_kernel,kernel_to_user,total
244, 371, 3676, 5843
245, 371, 3705, 5871
246, 370, 3705, 5871
247, 371, 3705, 5871
248, 370, 3705, 5871
249, 371, 3705, 5871
250, 370, 3705, 5871
251, 371, 3705, 5843
252, 370, 3677, 5842
253, 370, 3705, 5871
254, 371, 3676, 5843
255, 371, 3705, 5871
256, 370, 3677, 5842
257, 370, 3705, 5871
258, 371, 3676, 5843
259, 371, 3705, 5871
260, 370, 3705, 5842
261, 342, 3734, 5871
262, 370, 3677, 5842
263, 370, 3705, 5871
264, 371, 3705, 5871
265, 370, 3705, 5871
266, 371, 3705, 5843
267, 370, 3677, 5842
268, 342, 3705, 5843
269, 371, 3705, 5843
270, 342, 3705, 5842
271, 370, 3705, 5842
272, 342, 3705, 5843
273, 371, 3705, 5843
274, 370, 3677, 5842
275, 370, 3705, 5871
276, 371, 3705, 5843
277, 370, 3705, 5871
278, 371, 3676, 5843
279, 371, 3705, 5871
280, 342, 3705, 5843
281, 371, 3705, 5871
282, 371, 3847, 6042
283, 370, 3705, 5871
284, 371, 3733, 5900
285, 342, 3676, 5814
286, 371, 3676, 5843
287, 371, 3676, 5843
288, 371, 3676, 5843
289, 371, 3705, 5871
290, 370, 3705, 5871
291, 371, 3705, 5871
292, 370, 5928, 8094
293, 371, 3705, 5871
294, 371, 3676, 5843
295, 371, 3705, 5871
296, 342, 3705, 5843
297, 371, 3705, 5871
298, 370, 3705, 5842
299, 342, 3734, 5871
300, 370, 3677, 5842
301, 370, 3705, 5871
302, 371, 3705, 5843
303, 342, 3705, 5842
304, 370, 3705, 5871
305, 371, 3705, 5871
306, 370, 3705, 5871
307, 342, 3734, 5871
308, 342, 3733, 5842
309, 371, 3705, 5871
310, 370, 3677, 5842
311, 342, 3734, 5871
312, 370, 3677, 5842
313, 370, 3705, 5871
314, 371, 3705, 5871
315, 370, 3705, 5842
316, 342, 3705, 5843
317, 371, 3705, 5871
318, 370, 3677, 5842
319, 370, 3705, 5871
320, 371, 3705, 5871
321, 370, 3705, 5871
322, 371, 3705, 5871
323, 370, 3734, 5899
324, 370, 3677, 5842
325, 370, 3705, 5871
326, 342, 3733, 5842
327, 371, 3676, 5843
328, 342, 3705, 5842
329, 370, 3705, 5871
330, 371, 3705, 5843
331, 342, 3705, 5842
332, 342, 3705, 5843
333, 371, 3705, 5871
334, 370, 3791, 5956
335, 370, 3734, 5899
336, 370, 3677, 5842
337, 370, 3705, 5871
338, 371, 3705, 5871
339, 370, 3705, 5871
340, 342, 3705, 5842
341, 370, 3734, 5899
342, 370, 3677, 5842
343, 370, 3705, 5871
344, 371, 3705, 5871
345, 370, 3705, 5842
346, 342, 3705, 5843
347, 371, 3705, 5871
348, 370, 3677, 5842
349, 370, 3705, 5871
350, 371, 3705, 5871
351, 370, 3705, 5871
352, 371, 3705, 5843
353, 342, 3733, 5871
354, 371, 3705, 5871
355, 370, 3705, 5871
356, 371, 3705, 5871
357, 370, 3705, 5871
358, 371, 3705, 5843
359, 342, 3733, 5871
360, 371, 3676, 5843
361, 371, 3705, 5871
362, 370, 3705, 5842
363, 342, 3705, 5843
364, 371, 3705, 5843
365, 342, 3733, 5871
366, 371, 3676, 5843
367, 371, 3705, 5871
368, 342, 3705, 5843
369, 342, 3705, 5842
370, 342, 3705, 5843
371, 371, 3733, 5900
372, 371, 3676, 5843
373, 371, 3705, 5871
374, 370, 3705, 5871
375, 371, 3705, 5871
376, 370, 3677, 5842
377, 370, 3705, 5871
378, 342, 3705, 5842
379, 370, 3705, 5842
380, 342, 3705, 5843
381, 371, 3705, 5871
382, 370, 3705, 5871
383, 371, 3705, 5871
384, 370, 3705, 5842
385, 371, 3705, 5871
386, 370, 3705, 5871
387, 371, 3705, 5871
388, 370, 3705, 5871
389, 371, 3705, 5871
390, 370, 3677, 5842
391, 370, 3705, 5871
392, 371, 3705, 5871
393, 370, 3705, 5871
394, 371, 3676, 5843
395, 371, 3705, 5871
396, 370, 3705, 5842
397, 342, 3734, 5843
398, 370, 3705, 5842
399, 371, 3705, 5871
400, 370, 3677, 5842
401, 342, 3734, 5871
402, 370, 3705, 5871
403, 371, 3705, 5871
404, 370, 3705, 5871
405, 371, 3676, 5843
406, 342, 3705, 5842
407, 370, 3705, 5871
408, 371, 3676, 5843
409, 371, 3705, 5871
410, 370, 3705, 5871
411, 371, 3705, 5871
412, 370, 3677, 5842
413, 370, 3734, 5899
414, 370, 3677, 5842
415, 342, 3734, 5871
416, 370, 3705, 5871
417, 371, 3705, 5871
418, 370, 3705, 5871
419, 371, 3705, 5871
420, 370, 3705, 5842
421, 342, 3705, 5843
422, 371, 3705, 5871
423, 370, 3705, 5871
424, 371, 3676, 5843
425, 371, 3705, 5871
426, 370, 3705, 5842
427, 342, 3734, 5843
428, 342, 3733, 5842
429, 342, 3705, 5843
430, 342, 3705, 5842
431, 370, 3734, 5899
432, 370, 3677, 5842
433, 342, 3734, 5871
434, 370, 3705, 5871
435, 371, 3705, 5871
436, 370, 3677, 5842
437, 370, 3705, 5871
438, 371, 3705, 5843
439, 342, 3705, 5842
440, 370, 3705, 5871
441, 371, 3676, 5843
442, 342, 3705, 5842
443, 370, 3705, 5871
444, 371, 3705, 5871
445, 370, 3705, 5871
446, 371, 3705, 5871
447, 370, 3705, 5871
448, 371, 3705, 5871
449, 370, 3705, 5871
450, 342, 3705, 5842
451, 370, 3705, 5871
452, 371, 3705, 5871
453, 370, 3876, 6042
454, 342, 3705, 5842
455, 342, 3734, 5871
456, 370, 3677, 5842
457, 399, 3676, 5871
458, 342, 3705, 5814
459, 342, 3733, 5842
460, 371, 3676, 5843
461, 342, 3705, 5842
462, 370, 3705, 5871
463, 342, 3705, 5842
464, 370, 3705, 5871
465, 371, 3705, 5871
466, 370, 3705, 5871
467, 371, 3676, 5843
468, 371, 3705, 5871
469, 370, 3677, 5842
470, 370, 3705, 5871
471, 371, 3676, 5843
472, 371, 3705, 5871
473, 370, 3705, 5871
474, 371, 3705, 5871
475, 370, 3677, 5842
476, 342, 3705, 5843
477, 342, 3705, 5842
478, 370, 3705, 5871
479, 371, 3705, 5871
480, 370, 3705, 5871
481, 371, 3676, 5843
482, 371, 3705, 5871
483, 370, 3705, 5842
484, 342, 3705, 5843
485, 342, 3705, 5842
486, 370, 3677, 5842
487, 370, 3705, 5871
488, 371, 3705, 5871
489, 370, 3677, 5842
490, 370, 3705, 5871
491, 342, 3705, 5842
492, 370, 3705, 5871
493, 371, 3705, 5871
494, 370, 3705, 5871
495, 371, 3705, 5871
496, 370, 3705, 5871
497, 371, 3676, 5843
498, 371, 3705, 5871
499, 370, 3705, 5842
500, 342, 3705, 5843
501, 371, 3676, 5843
502, 371, 3705, 5871
503, 370, 3705, 5871
504, 371, 3705, 5843
505, 370, 3677, 5842
506, 370, 3705, 5871
507, 371, 3705, 5871
508, 370, 3705, 5871
509, 371, 3705, 5871
510, 370, 3705, 5871
511, 371, 3705, 5843
512, 342, 3705, 5842
513, 370, 3705, 5871
514, 371, 3705, 5871
515, 370, 3677, 5842
516, 370, 3705, 5842
517, 371, 3676, 5843
518, 371, 3705, 5871
519, 370, 3677, 5842
520, 370, 3705, 5871
521, 371, 3705, 5871
522, 370, 3705, 5871
523, 371, 3705, 5871
524, 370, 3705, 5871
525, 371, 3705, 5871
526, 370, 3705, 5871
527, 371, 3676, 5843
528, 371, 3705, 5871
529, 370, 3705, 5842
530, 342, 3705, 5843
531, 371, 3705, 5843
532, 513, 3705, 6013
533, 370, 3677, 5842
534, 370, 3705, 5871
535, 371, 3705, 5871
536, 370, 3705, 5871
537, 371, 3676, 5843
538, 342, 3733, 5871
539, 371, 3676, 5843
540, 342, 3733, 5871
541, 371, 3676, 5843
542, 371, 3705, 5871
543, 370, 3705, 5871
544, 371, 3705, 5843
545, 342, 3705, 5842
546, 370, 3705, 5871
547, 371, 3676, 5843
548, 371, 3705, 5871
549, 370, 3677, 5842
550, 370, 3705, 5871
551, 371, 3705, 5871
552, 370, 3705, 5871
553, 371, 3676, 5843
554, 370, 3705, 5871
555, 371, 3676, 5843
556, 342, 3733, 5871
557, 371, 3676, 5843
558, 371, 3705, 5871
559, 370, 3705, 5871
560, 371, 3676, 5843
561, 342, 3705, 5842
562, 370, 3705, 5871
563, 371, 3676, 5843
564, 371, 3705, 5871
565, 370, 3677, 5842
566, 370, 3705, 5871
567, 371, 3705, 5871
568, 370, 3705, 5871
569, 371, 3705, 5871
570, 370, 3705, 5871
571, 371, 3705, 5871
572, 370, 3705, 5871
573, 371, 3676, 5843
574, 371, 3705, 5871
575, 370, 3677, 5842
576, 370, 3705, 5871
577, 371, 3705, 5843
578, 342, 3705, 5842
579, 342, 3705, 5843
580, 371, 3705, 5871
581, 370, 3677, 5842
582, 370, 3705, 5871
583, 371, 3705, 5871
584, 370, 3705, 5871
585, 371, 3705, 5871
586, 370, 3705, 5871
587, 371, 3705, 5871
588, 370, 3705, 5871
589, 371, 3676, 5843
590, 371, 3705, 5871
591, 370, 3677, 5842
592, 370, 3705, 5871
593, 371, 3676, 5843
594, 342, 3705, 5842
595, 370, 3705, 5871
596, 371, 3705, 5871
597, 370, 3677, 5842
598, 370, 3705, 5871
599, 342, 3705, 5842
600, 370, 3705, 5871
601, 371, 3705, 5871
