trial,hw_to_kernel,kernel_to_user,total
288, 371, 342, 741
289, 370, 342, 741
290, 371, 342, 741
291, 370, 342, 741
292, 371, 342, 741
293, 370, 342, 741
294, 371, 342, 741
295, 370, 342, 741
296, 371, 342, 741
297, 370, 342, 741
298, 371, 342, 770
299, 342, 342, 741
300, 370, 314, 741
301, 371, 342, 741
302, 370, 342, 741
303, 371, 342, 741
304, 370, 342, 741
305, 371, 342, 741
306, 370, 342, 741
307, 371, 342, 741
308, 370, 342, 769
309, 370, 342, 769
310, 342, 342, 713
311, 371, 342, 741
312, 370, 342, 769
313, 370, 314, 741
314, 371, 342, 741
315, 370, 342, 741
316, 371, 342, 741
317, 370, 342, 741
318, 371, 342, 741
319, 370, 342, 741
320, 371, 342, 770
321, 371, 313, 741
322, 370, 342, 741
323, 371, 342, 741
324, 370, 342, 741
325, 371, 342, 741
326, 370, 342, 741
327, 371, 342, 741
328, 370, 342, 741
329, 371, 342, 741
330, 370, 342, 769
331, 370, 342, 769
332, 371, 313, 741
333, 370, 342, 741
334, 371, 342, 741
335, 370, 342, 741
336, 371, 342, 741
337, 370, 342, 741
338, 371, 342, 770
339, 371, 313, 741
340, 370, 342, 741
341, 371, 342, 741
342, 370, 342, 741
343, 371, 342, 741
344, 370, 342, 741
345, 371, 342, 741
346, 370, 342, 741
347, 371, 342, 741
348, 370, 342, 769
349, 342, 342, 741
350, 371, 342, 741
351, 370, 342, 741
352, 371, 342, 741
353, 370, 342, 741
354, 371, 342, 741
355, 370, 342, 741
356, 371, 342, 770
357, 371, 313, 741
358, 342, 342, 741
359, 342, 342, 741
360, 370, 342, 741
361, 371, 342, 741
362, 370, 342, 741
363, 371, 342, 741
364, 370, 342, 741
365, 371, 342, 741
366, 370, 342, 741
367, 371, 342, 770
368, 369, 342, 768
369, 370, 314, 741
370, 371, 342, 741
371, 370, 342, 741
372, 371, 342, 741
373, 370, 342, 741
374, 371, 342, 741
375, 370, 342, 741
376, 371, 342, 741
377, 370, 342, 741
378, 371, 342, 741
379, 370, 342, 741
380, 371, 342, 741
381, 370, 342, 741
382, 371, 342, 741
383, 370, 342, 769
384, 370, 342, 769
385, 371, 313, 741
386, 370, 342, 741
387, 371, 342, 741
388, 370, 342, 741
389, 371, 342, 741
390, 370, 342, 741
391, 371, 342, 741
392, 370, 342, 741
393, 371, 342, 741
394, 370, 342, 741
395, 371, 342, 741
396, 370, 342, 741
397, 371, 342, 741
398, 370, 342, 741
399, 371, 342, 741
400, 370, 342, 769
401, 342, 342, 741
402, 371, 313, 741
403, 370, 342, 741
404, 371, 342, 741
405, 370, 342, 741
406, 371, 313, 741
407, 370, 314, 741
408, 371, 342, 741
409, 370, 342, 741
410, 371, 342, 741
411, 370, 342, 741
412, 371, 342, 741
413, 370, 342, 741
414, 371, 342, 741
415, 370, 342, 741
416, 371, 342, 741
417, 370, 342, 769
418, 342, 342, 741
419, 371, 313, 741
420, 370, 342, 741
421, 371, 342, 741
422, 342, 342, 741
423, 371, 313, 741
424, 370, 342, 741
425, 371, 342, 741
426, 370, 342, 741
427, 371, 342, 741
428, 370, 342, 741
429, 371, 342, 741
430, 370, 342, 741
431, 371, 342, 770
432, 371, 313, 741
433, 370, 342, 741
434, 371, 342, 741
435, 370, 342, 741
436, 371, 342, 741
437, 370, 342, 741
438, 371, 342, 741
439, 370, 342, 741
440, 371, 342, 741
441, 370, 342, 741
442, 371, 342, 770
443, 371, 313, 741
444, 370, 342, 741
445, 371, 342, 741
446, 370, 342, 741
447, 371, 342, 741
448, 370, 342, 741
449, 371, 342, 741
450, 370, 342, 769
451, 370, 314, 741
452, 371, 342, 741
453, 399, 342, 770
454, 371, 342, 741
455, 370, 342, 769
456, 370, 342, 741
457, 371, 342, 741
458, 370, 342, 741
459, 371, 342, 741
460, 370, 342, 741
461, 371, 342, 770
462, 371, 342, 741
463, 370, 342, 741
464, 371, 342, 741
465, 370, 342, 741
466, 371, 342, 741
467, 370, 342, 741
468, 371, 342, 770
469, 369, 342, 768
470, 370, 314, 741
471, 371, 342, 741
472, 370, 342, 741
473, 371, 342, 741
474, 370, 342, 741
475, 371, 342, 741
476, 370, 342, 741
477, 371, 342, 770
478, 342, 342, 741
479, 370, 314, 741
480, 371, 342, 741
481, 370, 342, 741
482, 371, 342, 741
483, 370, 342, 741
484, 371, 342, 741
485, 370, 342, 741
486, 371, 342, 741
487, 370, 342, 741
488, 371, 342, 770
489, 342, 342, 741
490, 370, 314, 741
491, 371, 342, 741
492, 370, 342, 741
493, 371, 342, 741
494, 370, 342, 741
495, 371, 342, 741
496, 370, 342, 741
497, 371, 342, 741
498, 370, 342, 741
499, 371, 342, 741
500, 370, 342, 769
501, 370, 342, 769
502, 342, 342, 741
503, 370, 314, 741
504, 371, 342, 741
505, 370, 342, 741
506, 371, 342, 741
507, 370, 342, 741
508, 371, 342, 741
509, 370, 342, 741
510, 371, 342, 741
511, 370, 342, 741
512, 371, 342, 741
513, 370, 342, 741
514, 371, 342, 770
515, 342, 342, 741
516, 370, 314, 741
517, 371, 342, 741
518, 370, 342, 741
519, 371, 342, 741
520, 370, 342, 741
521, 371, 342, 741
522, 370, 342, 741
523, 371, 342, 741
524, 370, 342, 741
525, 371, 342, 741
526, 370, 342, 741
527, 371, 342, 741
528, 370, 342, 769
529, 342, 342, 741
530, 371, 313, 741
531, 370, 342, 741
532, 371, 342, 741
533, 370, 342, 741
534, 371, 342, 741
535, 370, 342, 741
536, 371, 342, 741
537, 370, 342, 741
538, 371, 342, 741
539, 370, 342, 769
540, 370, 314, 741
541, 371, 342, 741
542, 370, 342, 741
543, 371, 342, 741
544, 370, 342, 741
545, 371, 342, 741
546, 370, 342, 741
547, 371, 342, 741
548, 370, 342, 741
549, 371, 342, 741
550, 370, 342, 741
551, 371, 342, 741
552, 370, 342, 741
553, 371, 342, 741
554, 370, 342, 741
555, 371, 342, 741
556, 370, 342, 741
557, 371, 342, 741
558, 370, 342, 769
559, 342, 342, 741
560, 371, 313, 741
561, 370, 342, 741
562, 371, 342, 741
563, 370, 342, 741
564, 371, 342, 741
565, 370, 342, 741
566, 371, 342, 741
567, 370, 342, 741
568, 371, 342, 741
569, 370, 342, 741
570, 371, 342, 741
571, 370, 342, 741
572, 371, 342, 741
573, 370, 342, 741
574, 371, 342, 741
575, 370, 342, 741
576, 371, 342, 741
577, 370, 342, 769
578, 342, 342, 741
579, 342, 342, 741
580, 370, 314, 741
581, 371, 342, 741
582, 370, 342, 741
583, 371, 342, 741
584, 370, 342, 741
585, 371, 342, 741
586, 370, 342, 741
587, 371, 342, 741
588, 370, 342, 741
589, 371, 342, 741
590, 370, 342, 741
591, 371, 342, 741
592, 370, 342, 741
593, 371, 342, 741
594, 370, 342, 741
595, 371, 342, 741
596, 370, 342, 741
597, 371, 342, 741
598, 370, 342, 769
599, 342, 342, 741
600, 342, 342, 741
601, 342, 342, 741
602, 342, 342, 741
603, 342, 342, 741
604, 342, 342, 741
605, 342, 342, 741
606, 342, 342, 741
607, 342, 342, 741
608, 342, 342, 741
609, 370, 314, 741
610, 371, 313, 741
611, 370, 314, 741
612, 371, 313, 741
613, 370, 314, 741
614, 371, 313, 741
615, 370, 342, 741
616, 371, 342, 741
617, 370, 342, 741
618, 371, 313, 741
619, 370, 314, 741
620, 371, 313, 741
621, 370, 314, 741
622, 371, 342, 741
623, 399, 342, 770
624, 371, 342, 741
625, 370, 314, 741
626, 371, 313, 741
627, 342, 342, 712
628, 370, 342, 741
629, 371, 342, 741
630, 370, 342, 741
631, 371, 342, 741
632, 370, 342, 741
633, 371, 342, 741
634, 370, 342, 741
635, 371, 342, 741
636, 370, 342, 741
637, 371, 342, 770
638, 371, 342, 741
639, 370, 342, 741
640, 371, 342, 741
641, 370, 342, 741
642, 371, 342, 741
643, 370, 342, 741
644, 371, 342, 770
645, 371, 342, 741
646, 370, 342, 741
647, 371, 342, 741
648, 370, 342, 741
649, 371, 342, 741
650, 371, 342, 741
651, 370, 342, 741
652, 371, 342, 741
653, 370, 342, 769
654, 370, 342, 741
655, 371, 342, 741
656, 370, 342, 741
657, 371, 342, 741
658, 370, 342, 769
659, 370, 342, 769
660, 371, 342, 741
661, 370, 342, 741
662, 371, 342, 741
663, 370, 342, 741
664, 371, 342, 770
665, 342, 342, 741
666, 370, 342, 741
667, 371, 342, 770
668, 371, 342, 741
669, 370, 342, 741
670, 371, 342, 741
671, 370, 342, 741
672, 371, 342, 770
673, 371, 342, 741
674, 370, 342, 741
675, 371, 342, 741
676, 370, 342, 741
677, 371, 342, 770
678, 342, 342, 741
679, 370, 342, 741
680, 371, 342, 741
681, 370, 342, 741
682, 370, 342, 741
683, 371, 342, 741
684, 370, 342, 741
685, 371, 342, 770
686, 371, 342, 741
687, 370, 342, 741
688, 371, 342, 741
689, 370, 342, 741
690, 371, 342, 770
691, 371, 342, 741
692, 370, 342, 741
693, 371, 342, 741
694, 370, 342, 741
695, 371, 342, 770
696, 369, 342, 768
697, 370, 342, 741
698, 371, 342, 741
699, 370, 342, 769
700, 370, 342, 741
701, 371, 342, 741
702, 370, 342, 741
703, 371, 342, 770
704, 371, 313, 741
705, 370, 342, 741
706, 371, 342, 741
707, 370, 342, 741
708, 371, 342, 741
709, 370, 342, 769
710, 342, 342, 741
711, 371, 342, 741
712, 370, 342, 741
713, 371, 342, 741
714, 370, 342, 769
715, 370, 342, 741
716, 371, 342, 741
717, 370, 342, 741
718, 371, 342, 741
719, 370, 342, 741
720, 371, 342, 770
721, 371, 313, 741
722, 370, 342, 741
723, 371, 342, 741
724, 370, 342, 741
725, 371, 342, 741
726, 370, 342, 741
727, 371, 342, 770
728, 342, 342, 741
729, 370, 342, 741
730, 371, 342, 741
731, 370, 342, 769
732, 370, 314, 741
733, 371, 342, 741
734, 370, 342, 741
735, 371, 342, 741
736, 370, 342, 741
737, 371, 342, 770
738, 369, 342, 768
739, 370, 314, 741
740, 371, 342, 741
741, 370, 342, 741
742, 371, 342, 741
743, 370, 342, 741
744, 371, 342, 741
745, 370, 342, 741
746, 370, 342, 741
747, 371, 342, 741
748, 370, 342, 741
749, 371, 342, 770
750, 371, 313, 741
751, 370, 342, 741
752, 371, 342, 741
753, 370, 342, 741
754, 371, 342, 741
755, 370, 342, 741
756, 371, 342, 741
757, 370, 342, 769
758, 370, 342, 741
759, 371, 342, 741
760, 370, 342, 741
761, 371, 342, 741
762, 370, 342, 769
763, 370, 342, 741
764, 371, 342, 741
765, 370, 342, 741
766, 371, 342, 770
767, 371, 313, 741
768, 370, 342, 741
769, 371, 342, 741
770, 370, 342, 741
771, 371, 342, 741
772, 370, 342, 769
773, 342, 342, 741
774, 371, 342, 741
775, 370, 342, 741
776, 371, 342, 770
777, 371, 342, 741
778, 370, 342, 741
779, 371, 342, 770
780, 371, 342, 741
781, 370, 342, 741
782, 371, 342, 741
783, 370, 342, 741
784, 371, 342, 770
785, 371, 342, 741
786, 370, 342, 741
787, 371, 342, 741
788, 370, 342, 741
789, 371, 342, 741
790, 370, 342, 769
791, 370, 342, 741
792, 371, 342, 741
793, 370, 342, 741
794, 399, 342, 769
795, 370, 342, 741
796, 371, 342, 741
797, 370, 342, 769
798, 342, 342, 741
799, 371, 342, 741
800, 370, 342, 741
801, 371, 342, 741
802, 370, 342, 741
803, 371, 342, 770
804, 342, 342, 741
805, 370, 314, 741
806, 371, 342, 741
807, 370, 342, 741
808, 371, 342, 741
809, 370, 342, 741
810, 371, 342, 741
811, 370, 342, 769
812, 342, 342, 741
813, 371, 342, 741
814, 370, 342, 741
815, 371, 342, 741
816, 370, 342, 741
817, 371, 342, 741
818, 370, 342, 741
819, 371, 342, 770
820, 369, 342, 740
821, 371, 342, 770
822, 342, 342, 713
823, 371, 342, 770
824, 342, 342, 741
825, 370, 342, 741
826, 371, 342, 741
827, 370, 342, 741
828, 371, 342, 741
829, 370, 342, 741
830, 371, 342, 741
831, 370, 342, 741
832, 371, 342, 741
833, 370, 342, 769
834, 342, 342, 741
835, 371, 342, 741
836, 370, 314, 741
837, 371, 342, 741
838, 342, 342, 741
839, 371, 313, 741
