time, instructions, freed, alive, gc_latency (us)
1460000, 1689200, 2063165, 95693, 1008664
1470000, 1657963, 2223313, 100856, 1023753
1480000, 1689705, 2063345, 95693, 951510
1490000, 1673648, 2242651, 100840, 1064794
1500000, 1682865, 2059124, 90575, 951370
1510000, 1674281, 2244490, 95720, 1026620
1520000, 1689005, 2054766, 95696, 1027076
1530000, 1659573, 2228446, 100855, 1015491
1540000, 1691831, 2062805, 95693, 954111
1550000, 1674657, 2247481, 100857, 1062907
1560000, 1681371, 2048538, 95692, 953538
1570000, 1676279, 2250362, 100877, 1027047
1580000, 1685537, 2057860, 90641, 1036350
1590000, 1663456, 2236082, 95764, 1014924
1600000, 1691592, 2056451, 95996, 952136
1610000, 1674271, 2247614, 100844, 1067094
1620000, 1678299, 2046825, 96104, 949539
1630000, 1678424, 2251428, 100855, 1022012
1640000, 1687378, 2061207, 96458, 1039019
1650000, 1658926, 2224263, 100836, 1008130
1660000, 1688876, 2068766, 91467, 957112
1670000, 1679760, 2249006, 95755, 1064146
1680000, 1681389, 2051858, 96796, 952117
1690000, 1674127, 2239530, 100856, 1012729
1700000, 1682684, 2060166, 96980, 1039694
1710000, 1663570, 2224858, 100878, 1015530
1720000, 1685865, 2064327, 97086, 959968
1730000, 1675423, 2238629, 100875, 1069214
1740000, 1675104, 2056988, 92033, 951094
1750000, 1684739, 2249124, 95740, 1019764
1760000, 1683851, 2061082, 97430, 1033383
1770000, 1664858, 2221494, 100879, 1009550
1780000, 1685059, 2068364, 97515, 952755
1790000, 1680580, 2239759, 100879, 1077911
1800000, 1673741, 2056090, 97606, 957614
1810000, 1676758, 2233679, 100888, 1018352
1820000, 1684894, 2077176, 92684, 1044854
1830000, 1658194, 2208743, 95768, 1007872
1840000, 1689174, 2072686, 97794, 959840
1850000, 1686354, 2242329, 100840, 1057492
1860000, 1706439, 2105611, 98319, 977516
1870000, 1707043, 2262299, 100846, 1063369
1880000, 1698437, 2103670, 98843, 1093297
1890000, 1678619, 2225193, 100797, 1015413
1900000, 1713327, 2127216, 94038, 984046
